league_id,league_name,season,team_id,team_name,rank,points,goal_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
39,Premier League,2023,50,Manchester City,1,91,62,Premier League,WWWWW,same,Promotion - Champions League (Group Stage: ),38,28,7,3,96,34,19,14,5,0,51,16,19,14,2,3,45,18
39,Premier League,2023,42,Arsenal,2,89,62,Premier League,WWWWW,same,Promotion - Champions League (Group Stage: ),38,28,5,5,91,29,19,15,2,2,48,16,19,13,3,3,43,13
39,Premier League,2023,40,Liverpool,3,82,45,Premier League,WDWDL,same,Promotion - Champions League (Group Stage: ),38,24,10,4,86,41,19,15,3,1,49,17,19,9,7,3,37,24
39,Premier League,2023,66,Aston Villa,4,68,15,Premier League,LDLDW,same,Promotion - Champions League (Group Stage: ),38,20,8,10,76,61,19,12,4,3,48,28,19,8,4,7,28,33
39,Premier League,2023,47,Tottenham,5,66,13,Premier League,WLWLL,same,Promotion - Europa League (Group Stage: ),38,20,6,12,74,61,19,13,0,6,38,27,19,7,6,6,36,34
39,Premier League,2023,49,Chelsea,6,63,14,Premier League,WWWWW,same,Promotion - Europa Conference League (Qualification: ),38,18,9,11,77,63,19,11,4,4,44,26,19,7,5,7,33,37
39,Premier League,2023,34,Newcastle,7,60,23,Premier League,WLDWW,same,,38,18,6,14,85,62,19,12,4,3,49,22,19,6,2,11,36,40
39,Premier League,2023,33,Manchester United,8,60,-1,Premier League,WWLLD,same,Promotion - Europa League (Group Stage: ),38,18,6,14,57,58,19,10,3,6,31,28,19,8,3,8,26,30
39,Premier League,2023,48,West Ham,9,52,-14,Premier League,LWLDL,same,,38,14,10,14,60,74,19,7,8,4,31,28,19,7,2,10,29,46
39,Premier League,2023,52,Crystal Palace,10,49,-1,Premier League,WWWDW,same,,38,13,10,15,57,58,19,8,4,7,37,26,19,5,6,8,20,32
39,Premier League,2023,51,Brighton,11,48,-7,Premier League,LLDWL,same,,38,12,12,14,55,62,19,8,6,5,30,27,19,4,6,9,25,35
39,Premier League,2023,35,Bournemouth,12,48,-13,Premier League,LLLWW,same,,38,13,9,16,54,67,19,7,6,6,27,28,19,6,3,10,27,39
39,Premier League,2023,36,Fulham,13,47,-6,Premier League,WLDDL,same,,38,13,8,17,55,61,19,9,2,8,31,24,19,4,6,9,24,37
39,Premier League,2023,39,Wolves,14,46,-15,Premier League,LLLWL,same,,38,13,7,18,50,65,19,8,3,8,26,30,19,5,4,10,24,35
39,Premier League,2023,45,Everton,15,40,-11,Premier League,LWDWW,same,,38,13,9,16,40,51,19,8,4,7,22,18,19,5,5,9,18,33
39,Premier League,2023,55,Brentford,16,39,-9,Premier League,LWDLW,same,,38,10,9,19,56,65,19,5,7,7,29,34,19,5,2,12,27,31
39,Premier League,2023,65,Nottingham Forest,17,32,-18,Premier League,WLWLL,same,,38,9,9,20,49,67,19,5,5,9,27,30,19,4,4,11,22,37
39,Premier League,2023,1359,Luton,18,26,-33,Premier League,LLDLL,same,Relegation - Championship,38,6,8,24,52,85,19,4,4,11,28,37,19,2,4,13,24,48
39,Premier League,2023,44,Burnley,19,24,-37,Premier League,LLLDW,same,Relegation - Championship,38,5,9,24,41,78,19,2,4,13,19,43,19,3,5,11,22,35
39,Premier League,2023,62,Sheffield Utd,20,16,-69,Premier League,LLLLL,same,Relegation - Championship,38,3,7,28,35,104,19,2,4,13,19,57,19,1,3,15,16,47
