fixture_id,match_date,season,league_id,league_name,round,status,home_team_id,home_team_name,home_goals,home_winner,away_team_id,away_team_name,away_goals,away_winner,match_result,venue_name,referee
688918,2021-05-29 22:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,1193,Cuiaba,2,,152,Juventude,2,,D,Arena Pantanal,Denis Ribeiro Serafim
688915,2021-05-29 23:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,118,Bahia,3,True,128,Santos,0,False,H,Estádio Governador Roberto Santos,Bruno Arleu de Araujo
688911,2021-05-30 00:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,126,Sao Paulo,0,,124,Fluminense,0,,D,Estádio Cícero Pompeu de Toledo,Rodolpho Toski Marques
688912,2021-05-30 14:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,1062,Atletico-MG,1,False,154,Fortaleza EC,2,True,A,Estádio Governador Magalhães Pinto,Caio Max Augusto Vieira
688909,2021-05-30 19:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,127,Flamengo,1,True,121,Palmeiras,0,False,H,Estadio Jornalista Mário Filho,Anderson Daronco
688914,2021-05-30 19:00:00+00:00,2021,71,Serie A,Regular Season - 1,FT,129,Ceara,3,True,130,Gremio,2,False,H,Estádio Governador Plácido Aderaldo Castelo,Savio Pereira
688910,2021-05-30 21:15:00+00:00,2021,71,Serie A,Regular Season - 1,FT,131,Corinthians,0,False,144,Atletico Goianiense,1,True,A,Neo Química Arena,Felipe Fernandes de Lima
688917,2021-05-30 21:15:00+00:00,2021,71,Serie A,Regular Season - 1,FT,132,Chapecoense-sc,0,False,794,RB Bragantino,3,True,A,Arena Condá,Marielson Alves Silva
688916,2021-05-30 21:15:00+00:00,2021,71,Serie A,Regular Season - 1,FT,134,Atletico Paranaense,1,True,125,America Mineiro,0,False,H,Arena da Baixada,Jefferson Ferreira de Moraes
688913,2021-05-30 23:30:00+00:00,2021,71,Serie A,Regular Season - 1,FT,119,Internacional,2,,123,Sport Recife,2,,D,Estádio José Pinheiro Borda,Vinicius Gonçalves Dias Araujo
688928,2021-06-05 22:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,144,Atletico Goianiense,2,True,126,Sao Paulo,0,False,H,Estádio Antônio Accioly,Diego Pombo Lopez
688921,2021-06-06 00:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,128,Santos,3,True,129,Ceara,1,False,H,Estádio Urbano Caldeira,Jean Pierre Goncalves Lima
688926,2021-06-06 00:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,794,RB Bragantino,3,,118,Bahia,3,,D,Estádio Nabi Abi Chedid,Vinicius Gomes
688919,2021-06-06 14:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,124,Fluminense,1,True,1193,Cuiaba,0,False,H,Estádio Club de Regatas Vasco da Gama,Edina Alves Batista
688922,2021-06-06 19:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,125,America Mineiro,0,False,131,Corinthians,1,True,A,Estádio Raimundo Sampaio,Marcelo de Lima Henrique
688924,2021-06-06 19:00:00+00:00,2021,71,Serie A,Regular Season - 2,FT,154,Fortaleza EC,5,True,119,Internacional,1,False,H,Estádio Governador Plácido Aderaldo Castelo,Paulo Roberto Alves Júnior
688920,2021-06-06 21:15:00+00:00,2021,71,Serie A,Regular Season - 2,FT,121,Palmeiras,3,True,132,Chapecoense-sc,1,False,H,Allianz Parque,Leo Simão
688927,2021-06-06 21:15:00+00:00,2021,71,Serie A,Regular Season - 2,FT,152,Juventude,0,False,134,Atletico Paranaense,3,True,A,Estádio Alfredo Jaconi,Paulo Cesar Zanovelli
688925,2021-06-06 23:30:00+00:00,2021,71,Serie A,Regular Season - 2,FT,123,Sport Recife,0,False,1062,Atletico-MG,1,True,A,Estádio Adelmar da Costa Carvalho,Raphael Claus
688930,2021-06-12 22:00:00+00:00,2021,71,Serie A,Regular Season - 3,FT,121,Palmeiras,1,,131,Corinthians,1,,D,Allianz Parque,Flavio Rodrigues De Souza
688931,2021-06-12 22:00:00+00:00,2021,71,Serie A,Regular Season - 3,FT,128,Santos,0,,152,Juventude,0,,D,Estádio Urbano Caldeira,Alexandre Vargas Tavares de Jesus
688929,2021-06-13 19:00:00+00:00,2021,71,Serie A,Regular Season - 3,FT,127,Flamengo,2,True,125,America Mineiro,0,False,H,Estadio Jornalista Mário Filho,Ramon Abatti
688933,2021-06-13 19:00:00+00:00,2021,71,Serie A,Regular Season - 3,FT,130,Gremio,0,False,134,Atletico Paranaense,1,True,A,Arena do Grêmio,Ricardo Marques Ribeiro
688932,2021-06-13 19:00:00+00:00,2021,71,Serie A,Regular Season - 3,FT,1062,Atletico-MG,1,True,126,Sao Paulo,0,False,H,Estádio Governador Magalhães Pinto,Anderson Daronco
688935,2021-06-13 23:30:00+00:00,2021,71,Serie A,Regular Season - 3,FT,118,Bahia,0,False,119,Internacional,1,True,A,Estádio Governador Roberto Santos,Wagner do Nascimento Magalhaes
688937,2021-06-13 23:30:00+00:00,2021,71,Serie A,Regular Season - 3,FT,132,Chapecoense-sc,0,,129,Ceara,0,,D,Arena Condá,Vinicius Gonçalves Dias Araujo
688934,2021-06-13 23:30:00+00:00,2021,71,Serie A,Regular Season - 3,FT,154,Fortaleza EC,1,True,123,Sport Recife,0,False,H,Estádio Governador Plácido Aderaldo Castelo,Braulio da Silva Machado
688936,2021-06-13 23:30:00+00:00,2021,71,Serie A,Regular Season - 3,FT,794,RB Bragantino,2,,124,Fluminense,2,,D,Estádio Nabi Abi Chedid,Leandro Vuaden
688943,2021-06-16 22:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,119,Internacional,0,False,1062,Atletico-MG,1,True,A,Estádio José Pinheiro Borda,Luiz Flavio De Oliveira
688941,2021-06-16 22:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,126,Sao Paulo,1,,132,Chapecoense-sc,1,,D,Estádio Cícero Pompeu de Toledo,Dyorgines José Padovani Andrade
688940,2021-06-16 23:30:00+00:00,2021,71,Serie A,Regular Season - 4,FT,131,Corinthians,1,False,794,RB Bragantino,2,True,A,Neo Química Arena,Thiago Luis Scarascati
688947,2021-06-17 00:30:00+00:00,2021,71,Serie A,Regular Season - 4,FT,152,Juventude,0,False,121,Palmeiras,3,True,A,Estádio Alfredo Jaconi,Marielson Alves Silva
688942,2021-06-17 19:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,125,America Mineiro,0,,1193,Cuiaba,0,,D,Estádio Raimundo Sampaio,Antonio Dib Moraes de Sousa
688944,2021-06-17 19:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,129,Ceara,1,False,118,Bahia,2,True,A,Estádio Governador Plácido Aderaldo Castelo,Marcelo de Lima Henrique
688945,2021-06-17 22:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,123,Sport Recife,1,True,130,Gremio,0,False,H,Estádio Adelmar da Costa Carvalho,Denis Ribeiro Serafim
688939,2021-06-17 22:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,124,Fluminense,1,True,128,Santos,0,False,H,Estadio Jornalista Mário Filho,Paulo Roberto Alves Júnior
688948,2021-06-17 22:00:00+00:00,2021,71,Serie A,Regular Season - 4,FT,144,Atletico Goianiense,0,,154,Fortaleza EC,0,,D,Estádio Antônio Accioly,Douglas Schwengber
688949,2021-06-20 00:00:00+00:00,2021,71,Serie A,Regular Season - 5,FT,127,Flamengo,2,False,794,RB Bragantino,3,True,A,Estadio Jornalista Mário Filho,Braulio da Silva Machado
688950,2021-06-20 14:00:00+00:00,2021,71,Serie A,Regular Season - 5,FT,121,Palmeiras,2,True,125,America Mineiro,1,False,H,Allianz Parque,Jefferson Ferreira de Moraes
688955,2021-06-20 19:00:00+00:00,2021,71,Serie A,Regular Season - 5,FT,118,Bahia,0,,131,Corinthians,0,,D,Estádio Governador Roberto Santos,Bruno Arleu de Araujo
688953,2021-06-20 19:00:00+00:00,2021,71,Serie A,Regular Season - 5,FT,119,Internacional,1,,129,Ceara,1,,D,Estádio José Pinheiro Borda,Diego Pombo Lopez
688951,2021-06-20 21:15:00+00:00,2021,71,Serie A,Regular Season - 5,FT,128,Santos,2,True,126,Sao Paulo,0,False,H,Estádio Urbano Caldeira,Savio Pereira
688956,2021-06-20 21:15:00+00:00,2021,71,Serie A,Regular Season - 5,FT,134,Atletico Paranaense,2,True,144,Atletico Goianiense,1,False,H,Arena da Baixada,Felipe Fernandes de Lima
688954,2021-06-20 21:15:00+00:00,2021,71,Serie A,Regular Season - 5,FT,154,Fortaleza EC,1,,124,Fluminense,1,,D,Estádio Governador Plácido Aderaldo Castelo,Flavio Rodrigues De Souza
688957,2021-06-20 23:30:00+00:00,2021,71,Serie A,Regular Season - 5,FT,152,Juventude,1,True,123,Sport Recife,0,False,H,Estádio Alfredo Jaconi,Edina Alves Batista
688952,2021-06-21 23:00:00+00:00,2021,71,Serie A,Regular Season - 5,FT,1062,Atletico-MG,1,,132,Chapecoense-sc,1,,D,Estádio Governador Magalhães Pinto,Rodolpho Toski Marques
688961,2021-06-23 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,126,Sao Paulo,2,,1193,Cuiaba,2,,D,Estádio Cícero Pompeu de Toledo,Ricardo Marques Ribeiro
688959,2021-06-23 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,127,Flamengo,2,True,154,Fortaleza EC,1,False,H,Estadio Jornalista Mário Filho,Anderson Daronco
688968,2021-06-23 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,144,Atletico Goianiense,1,True,124,Fluminense,0,False,H,Estádio Antônio Accioly,Paulo Cesar Zanovelli
688966,2021-06-23 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,794,RB Bragantino,3,True,121,Palmeiras,1,False,H,Estádio Nabi Abi Chedid,Luiz Flavio De Oliveira
688962,2021-06-24 19:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,125,America Mineiro,1,,152,Juventude,1,,D,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes
688964,2021-06-24 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,129,Ceara,2,True,1062,Atletico-MG,1,False,H,Estádio Governador Plácido Aderaldo Castelo,Leandro Vuaden
688960,2021-06-24 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,131,Corinthians,2,True,123,Sport Recife,1,False,H,Neo Química Arena,Paulo Roberto Alves Júnior
688967,2021-06-24 22:00:00+00:00,2021,71,Serie A,Regular Season - 6,FT,132,Chapecoense-sc,1,False,119,Internacional,2,True,A,Arena Condá,Alexandre Vargas Tavares de Jesus
688965,2021-06-25 00:30:00+00:00,2021,71,Serie A,Regular Season - 6,FT,118,Bahia,2,True,134,Atletico Paranaense,1,False,H,Estádio Governador Roberto Santos,Antonio Dib Moraes de Sousa
688963,2021-06-25 00:30:00+00:00,2021,71,Serie A,Regular Season - 6,FT,130,Gremio,2,,128,Santos,2,,D,Arena do Grêmio,Caio Max Augusto Vieira
688977,2021-06-27 14:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,152,Juventude,1,True,127,Flamengo,0,False,H,Estádio Alfredo Jaconi,Thiago Luis Scarascati
688969,2021-06-27 19:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,124,Fluminense,1,,131,Corinthians,1,,D,Estádio Club de Regatas Vasco da Gama,Savio Pereira
688970,2021-06-27 23:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,121,Palmeiras,3,True,118,Bahia,2,False,H,Allianz Parque,Denis Ribeiro Serafim
688973,2021-06-27 23:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,130,Gremio,0,,154,Fortaleza EC,0,,D,Arena do Grêmio,Marcelo de Lima Henrique
688976,2021-06-27 23:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,134,Atletico Paranaense,2,,132,Chapecoense-sc,2,,D,Arena da Baixada,Vinicius Gomes
688975,2021-06-27 23:30:00+00:00,2021,71,Serie A,Regular Season - 7,FT,123,Sport Recife,0,,1193,Cuiaba,0,,D,Estádio Adelmar da Costa Carvalho,Marielson Alves Silva
688972,2021-06-27 23:30:00+00:00,2021,71,Serie A,Regular Season - 7,FT,125,America Mineiro,1,,119,Internacional,1,,D,Estádio Raimundo Sampaio,Braulio da Silva Machado
688971,2021-06-27 23:30:00+00:00,2021,71,Serie A,Regular Season - 7,FT,128,Santos,2,True,1062,Atletico-MG,0,False,H,Estádio Urbano Caldeira,Bruno Arleu de Araujo
688974,2021-06-27 23:30:00+00:00,2021,71,Serie A,Regular Season - 7,FT,129,Ceara,1,,126,Sao Paulo,1,,D,Estádio Governador Plácido Aderaldo Castelo,Felipe Fernandes de Lima
688978,2021-06-28 23:00:00+00:00,2021,71,Serie A,Regular Season - 7,FT,144,Atletico Goianiense,0,False,794,RB Bragantino,1,True,A,Estádio Antônio Accioly,Ramon Abatti
688979,2021-06-30 19:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,124,Fluminense,1,False,134,Atletico Paranaense,4,True,A,Estádio Municipal General Raulino de Oliveira,Ricardo Marques Ribeiro
688984,2021-06-30 19:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,154,Fortaleza EC,3,True,132,Chapecoense-sc,2,False,H,Estádio Governador Plácido Aderaldo Castelo,Antonio Dib Moraes de Sousa
688985,2021-06-30 22:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,118,Bahia,3,False,125,America Mineiro,4,True,A,Estádio Governador Roberto Santos,Leo Simão
688983,2021-06-30 22:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,119,Internacional,1,False,121,Palmeiras,2,True,A,Estádio José Pinheiro Borda,Paulo Roberto Alves Júnior
688981,2021-06-30 23:30:00+00:00,2021,71,Serie A,Regular Season - 8,FT,128,Santos,0,,123,Sport Recife,0,,D,Estádio Urbano Caldeira,Douglas Schwengber
688980,2021-07-01 00:30:00+00:00,2021,71,Serie A,Regular Season - 8,FT,131,Corinthians,0,,126,Sao Paulo,0,,D,Neo Química Arena,Leandro Vuaden
688987,2021-07-01 00:30:00+00:00,2021,71,Serie A,Regular Season - 8,FT,152,Juventude,2,True,130,Gremio,0,False,H,Estádio Alfredo Jaconi,Vinicius Gonçalves Dias Araujo
688986,2021-07-01 19:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,794,RB Bragantino,0,,129,Ceara,0,,D,Estádio Nabi Abi Chedid,Wagner do Nascimento Magalhaes
688982,2021-07-01 22:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,1062,Atletico-MG,4,True,144,Atletico Goianiense,1,False,H,Estádio Governador Magalhães Pinto,Flavio Rodrigues De Souza
688988,2021-07-01 23:00:00+00:00,2021,71,Serie A,Regular Season - 8,FT,1193,Cuiaba,0,False,127,Flamengo,2,True,A,Arena Pantanal,Rodolpho Toski Marques
688992,2021-07-03 22:00:00+00:00,2021,71,Serie A,Regular Season - 9,FT,125,America Mineiro,2,True,128,Santos,0,False,H,Estádio Raimundo Sampaio,Denis Ribeiro Serafim
