fixture_id,match_date,season,league_id,league_name,round,status,home_team_id,home_team_name,home_goals,home_winner,away_team_id,away_team_name,away_goals,away_winner,match_result,venue_name,referee
718354,2021-08-06 19:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,91,Monaco,1,,83,Nantes,1,,D,Stade Louis II,A. Gautier
718352,2021-08-07 15:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,80,Lyon,1,,106,Stade Brestois 29,1,,D,Groupama Stadium,M. Lesage
718360,2021-08-07 19:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,110,Estac Troyes,1,False,85,Paris Saint Germain,2,True,A,Stade de l'Aube,A. Delerue
718357,2021-08-08 11:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,94,Rennes,1,,116,Lens,1,,D,Roazhon Park,B. Dechepy
718351,2021-08-08 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,78,Bordeaux,0,False,99,Clermont Foot,2,True,A,Stade Matmut-Atlantique,F. Batta
718356,2021-08-08 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,84,Nice,0,,93,Reims,0,,D,Allianz Riviera,J. Hamel
718359,2021-08-08 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,95,Strasbourg,0,False,77,Angers,2,True,A,Stade de la Meinau,J. Stinat
718358,2021-08-08 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,1063,Saint Etienne,1,,97,Lorient,1,,D,Stade Geoffroy-Guichard,T. Léonard
718353,2021-08-08 15:00:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,112,Metz,3,,79,Lille,3,,D,Stade Saint-Symphorien,E. Wattellier
718355,2021-08-08 18:45:00+00:00,2021,61,Ligue 1,Regular Season - 1,FT,82,Montpellier,2,False,81,Marseille,3,True,A,Stade de la Mosson,J. Pignard
718366,2021-08-13 19:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,97,Lorient,1,True,91,Monaco,0,False,H,Stade Yves Allainmat - Le Moustoir,H. Ben El Hadj
718365,2021-08-14 15:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,79,Lille,0,False,84,Nice,4,True,A,Stade Pierre-Mauroy,J. Brisard
718369,2021-08-14 19:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,85,Paris Saint Germain,4,True,95,Strasbourg,2,False,H,Parc des Princes,W. Delajod
718361,2021-08-15 11:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,77,Angers,3,True,80,Lyon,0,False,H,Stade Raymond-Kopa,C. Turpin
718368,2021-08-15 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,83,Nantes,2,True,112,Metz,0,False,H,Stade de la Beaujoire - Louis Fonteneau,J. Hamel
718370,2021-08-15 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,93,Reims,3,,82,Montpellier,3,,D,Stade Auguste-Delaune II,J. Stinat
718363,2021-08-15 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,99,Clermont Foot,2,True,110,Estac Troyes,0,False,H,Stade Gabriel Montpied,R. Lissorgue
718362,2021-08-15 13:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,106,Stade Brestois 29,1,,94,Rennes,1,,D,Stade Francis-Le Blé,B. Bastien
718364,2021-08-15 15:00:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,116,Lens,2,,1063,Saint Etienne,2,,D,Stade Bollaert-Delelis,A. Delerue
718367,2021-08-15 18:45:00+00:00,2021,61,Ligue 1,Regular Season - 2,FT,81,Marseille,2,,78,Bordeaux,2,,D,Orange Vélodrome,R. Buquet
718372,2021-08-20 19:00:00+00:00,2021,61,Ligue 1,Regular Season - 3,FT,106,Stade Brestois 29,2,False,85,Paris Saint Germain,4,True,A,Stade Francis-Le Blé,E. Wattellier
