fixture_id,match_date,season,league_id,league_name,round,status,home_team_id,home_team_name,home_goals,home_winner,away_team_id,away_team_name,away_goals,away_winner,match_result,venue_name,referee
872224,2022-08-05 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,210,Heerenveen,0,,426,Sparta Rotterdam,0,,D,Abe Lenstra Stadion,P. van Boekel
872225,2022-08-06 14:30:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,205,Fortuna Sittard,2,False,194,Ajax,3,True,A,Fortuna Sittard Stadion,S. Gözübüyük
872226,2022-08-06 16:45:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,420,Cambuur,0,False,196,Excelsior,2,True,A,Cambuur Stadion,E. van de Graaf
872227,2022-08-06 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,197,PSV Eindhoven,4,True,208,Emmen,1,False,H,Philips Stadion,M. van den Kerkhof
872228,2022-08-06 19:00:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,417,Waalwijk,2,,207,Utrecht,2,,D,Mandemakers Stadion,R. Dieperink
872229,2022-08-07 10:15:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,202,Groningen,2,,416,FC Volendam,2,,D,Euroborg,J. Kooij
872230,2022-08-07 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,200,Vitesse,2,False,209,Feyenoord,5,True,A,GelreDome,J. Kamphuis
872231,2022-08-07 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,413,NEC Nijmegen,0,False,415,Twente,1,True,A,Goffertstadion,D. Makkelie
872232,2022-08-07 14:45:00+00:00,2022,88,Eredivisie,Regular Season - 1,FT,201,AZ Alkmaar,2,True,410,GO Ahead Eagles,0,False,H,AFAS Stadion,A. Lindhout
872233,2022-08-12 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,196,Excelsior,3,True,200,Vitesse,1,False,H,Van Donge & De Roo Stadion,A. Bos
872234,2022-08-13 16:45:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,410,GO Ahead Eagles,2,False,197,PSV Eindhoven,5,True,A,De Adelaarshorst,D. Makkelie
872236,2022-08-13 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,207,Utrecht,0,,420,Cambuur,0,,D,Stadion Galgenwaard,E. Blank
872235,2022-08-13 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,208,Emmen,1,,417,Waalwijk,1,,D,De Oude Meerdijk,D. Higler
872237,2022-08-13 19:00:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,209,Feyenoord,0,,210,Heerenveen,0,,D,Stadion Feijenoord,S. Gözübüyük
872238,2022-08-14 10:15:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,416,FC Volendam,1,False,413,NEC Nijmegen,4,True,A,Kras Stadion,I. Oostrom
872239,2022-08-14 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,194,Ajax,6,True,202,Groningen,1,False,H,Johan Cruijff Arena,B. Nijhuis
872240,2022-08-14 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,415,Twente,3,True,205,Fortuna Sittard,0,False,H,De Grolsch Veste,M. van den Kerkhof
872241,2022-08-14 14:45:00+00:00,2022,88,Eredivisie,Regular Season - 2,FT,426,Sparta Rotterdam,2,False,201,AZ Alkmaar,3,True,A,Sparta-Stadion Het Kasteel,J. van der Laan
872242,2022-08-20 14:30:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,200,Vitesse,0,False,210,Heerenveen,4,True,A,GelreDome,J. Kooij
872246,2022-08-20 16:45:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,205,Fortuna Sittard,1,False,420,Cambuur,4,True,A,Fortuna Sittard Stadion,B. Nijhuis
872245,2022-08-20 19:00:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,208,Emmen,3,True,207,Utrecht,2,False,H,De Oude Meerdijk,J. Kamphuis
872243,2022-08-21 10:15:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,202,Groningen,1,True,410,GO Ahead Eagles,0,False,H,Euroborg,P. van Boekel
872247,2022-08-21 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,426,Sparta Rotterdam,0,False,194,Ajax,1,True,A,Sparta-Stadion Het Kasteel,J. Manschot
872249,2022-08-21 14:45:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,417,Waalwijk,0,False,209,Feyenoord,1,True,A,Mandemakers Stadion,E. van de Graaf
872251,2022-08-26 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,413,NEC Nijmegen,1,,202,Groningen,1,,D,Goffertstadion,A. Lindhout
872252,2022-08-27 14:30:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,410,GO Ahead Eagles,0,False,426,Sparta Rotterdam,1,True,A,De Adelaarshorst,J. Kamphuis
872253,2022-08-27 16:45:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,200,Vitesse,2,,417,Waalwijk,2,,D,GelreDome,P. van Boekel
872254,2022-08-27 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,209,Feyenoord,4,True,208,Emmen,0,False,H,Stadion Feijenoord,B. Nijhuis
872255,2022-08-27 19:00:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,210,Heerenveen,2,True,205,Fortuna Sittard,1,False,H,Abe Lenstra Stadion,D. Higler
872256,2022-08-28 10:15:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,207,Utrecht,0,False,194,Ajax,2,True,A,Stadion Galgenwaard,D. Makkelie
872257,2022-08-28 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,196,Excelsior,1,False,197,PSV Eindhoven,6,True,A,Van Donge & De Roo Stadion,J. Manschot
872258,2022-08-28 12:30:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,416,FC Volendam,1,True,415,Twente,0,False,H,Kras Stadion,A. Bos
872259,2022-08-28 14:45:00+00:00,2022,88,Eredivisie,Regular Season - 4,FT,420,Cambuur,0,False,201,AZ Alkmaar,1,True,A,Cambuur Stadion,R. Dieperink
872244,2022-08-31 16:45:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,197,PSV Eindhoven,7,True,416,FC Volendam,1,False,H,Philips Stadion,S. van der Eijk
872250,2022-08-31 19:00:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,415,Twente,4,True,196,Excelsior,0,False,H,De Grolsch Veste,M. Nagtegaal
872248,2022-09-01 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 3,FT,201,AZ Alkmaar,1,,413,NEC Nijmegen,1,,D,AFAS Stadion,D. Higler
872260,2022-09-02 18:00:00+00:00,2022,88,Eredivisie,Regular Season - 5,FT,205,Fortuna Sittard,3,False,207,Utrecht,4,True,A,Fortuna Sittard Stadion,A. Lindhout
