team_id,league_id,season,team_name,matches_played_total,matches_played_home,matches_played_away,wins_total,wins_home,wins_away,draws_total,draws_home,draws_away,losses_total,losses_home,losses_away,goals_for_total,goals_for_home,goals_for_away,goals_for_avg_total,goals_for_avg_home,goals_for_avg_away,goals_against_total,goals_against_home,goals_against_away,goals_against_avg_total,goals_against_avg_home,goals_against_avg_away,clean_sheets_total,clean_sheets_home,clean_sheets_away,failed_to_score_total,failed_to_score_home,failed_to_score_away,form,extracted_at
409,88,2024,Dordrecht,4,2,2,2,2,0,1,0,1,1,0,1,6,4,2,1.5,2.0,1.0,4,1,3,1.0,0.5,1.5,2,1,1,1,0,1,DWWL,2025-07-27 14:09:22.462862
410,88,2024,GO Ahead Eagles,34,17,17,14,10,4,9,4,5,11,3,8,57,32,25,1.7,1.9,1.5,55,22,33,1.6,1.3,1.9,9,6,3,7,2,5,LLWLWDWWLDDLWLWDWWWDLWLWWWLDDDLDWL,2025-07-27 14:09:22.462940
413,88,2024,NEC Nijmegen,35,17,18,12,6,6,7,6,1,16,5,11,53,36,17,1.5,2.1,0.9,49,24,25,1.4,1.4,1.4,10,4,6,9,0,9,LLWWLLDLWLWWLLLDLWWDLDLDLWDLWLDWWWL,2025-07-27 14:09:22.463019
415,88,2024,Twente,36,18,18,16,11,5,9,4,5,11,3,8,67,39,28,1.9,2.2,1.6,54,23,31,1.5,1.3,1.7,11,8,3,2,0,2,WDLDWWWLDWWDWWLWLWLDDWWDWLLDDLWWLLWL,2025-07-27 14:09:22.463098
417,88,2024,Waalwijk,34,17,17,6,5,1,7,3,4,21,9,12,44,25,19,1.3,1.5,1.1,74,31,43,2.2,1.8,2.5,4,4,0,11,6,5,LLLLLLLLDLWLDDLLDLDWWWLLLLDDLLLWLW,2025-07-27 14:09:22.463183
419,88,2024,Almere City FC,34,17,17,4,2,2,10,5,5,20,10,10,23,13,10,0.7,0.8,0.6,64,36,28,1.9,2.1,1.6,7,3,4,17,7,10,LLLDDLLLDWLLLLLLWDLLWDLLLDWDLLDLDD,2025-07-27 14:09:22.463260
420,88,2024,Cambuur,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0.5,1.0,0.0,2,1,1,1.0,1.0,1.0,0,0,0,1,0,1,LD,2025-07-27 14:09:22.463338
421,88,2024,Den Bosch,4,2,2,1,1,0,2,1,1,1,0,1,3,1,2,0.8,0.5,1.0,3,0,3,0.8,0.0,1.5,2,2,0,1,1,0,WDDL,2025-07-27 14:09:22.463412
426,88,2024,Sparta Rotterdam,34,17,17,9,4,5,12,6,6,13,7,6,39,20,19,1.1,1.2,1.1,43,24,19,1.3,1.4,1.1,6,4,2,9,4,5,DDDWLWDLDLLLLLLDLDDWWLLWDDWWWDLWDL,2025-07-27 14:09:22.463485
427,88,2024,Telstar,6,3,3,4,2,2,2,1,1,0,0,0,10,6,4,1.7,2.0,1.3,4,3,1,0.7,1.0,0.3,3,1,2,1,0,1,WWDWDW,2025-07-27 14:09:22.463564
193,88,2024,PEC Zwolle,34,17,17,10,7,3,11,4,7,13,6,7,43,24,19,1.3,1.4,1.1,51,20,31,1.5,1.2,1.8,6,5,1,10,3,7,LLLWDLWDLLDWLWDLDLWWDLDLLDWDDLWDWW,2025-07-27 14:09:22.463645
194,88,2024,Ajax,34,17,17,24,13,11,6,3,3,4,1,3,67,38,29,2.0,2.2,1.7,32,14,18,0.9,0.8,1.1,16,8,8,2,1,1,WLWDWWWWWWDWWDLWWWWWWWWWWDWWWLDLDW,2025-07-27 14:09:22.463724
195,88,2024,Willem II,38,19,19,7,4,3,9,3,6,22,12,10,41,24,17,1.1,1.3,0.9,65,32,33,1.7,1.7,1.7,5,3,2,11,5,6,DWDLWLLWDLLWDLLWWLDLLDLLLLLLLLDLLDLWDL,2025-07-27 14:09:22.463802
