fixture_id,match_date,season,league_id,league_name,round,status,home_team_id,home_team_name,home_goals,home_winner,away_team_id,away_team_name,away_goals,away_winner,match_result,venue_name,referee
1055070,2023-08-11 18:00:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,416,FC Volendam,1,False,200,Vitesse,2,True,A,Kras Stadion,D. Higler
1055071,2023-08-12 14:30:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,197,PSV Eindhoven,2,True,207,Utrecht,0,False,H,Philips Stadion,S. Gözübüyük
1055072,2023-08-12 16:45:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,210,Heerenveen,3,True,417,Waalwijk,1,False,H,Abe Lenstra Stadion,M. Nagtegaal
1055073,2023-08-12 18:00:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,194,Ajax,4,True,206,Heracles,1,False,H,Johan Cruijff Arena,J. Manschot
1055074,2023-08-12 19:00:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,193,PEC Zwolle,1,False,426,Sparta Rotterdam,2,True,A,MAC³PARK Stadion,J. Kooij
1055075,2023-08-13 10:15:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,413,NEC Nijmegen,3,False,196,Excelsior,4,True,A,Goffertstadion,A. Lindhout
1055077,2023-08-13 12:30:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,201,AZ Alkmaar,5,True,410,GO Ahead Eagles,1,False,H,AFAS Stadion,D. Makkelie
1055076,2023-08-13 12:30:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,209,Feyenoord,0,,205,Fortuna Sittard,0,,D,Stadion Feijenoord,R. Dieperink
1055078,2023-08-13 14:45:00+00:00,2023,88,Eredivisie,Regular Season - 1,FT,419,Almere City FC,1,False,415,Twente,4,True,A,Yanmar Stadion,J. Kamphuis
1055079,2023-08-18 18:00:00+00:00,2023,88,Eredivisie,Regular Season - 2,FT,206,Heracles,2,True,413,NEC Nijmegen,1,False,H,Erve Asito,E. Blank
